snapshot_time,type,asset,kalshi_ticker,poly_slug,direction,combined_cost,logged_at,poly_up_best_ask,poly_up_size_055,poly_up_slip_1000,poly_up_slip_3000,poly_down_best_ask,poly_down_size_055,poly_down_slip_1000,poly_down_slip_3000,kalshi_yes_levels,kalshi_no_levels,poly_up_vwap,poly_up_unfilled,poly_down_vwap,poly_down_unfilled,kalshi_yes_vwap,kalshi_yes_unfilled,kalshi_no_vwap,kalshi_no_unfilled,execution_status,combined_vwap,snapshot_age_sec,minutes_into_window,poly_leg,kalshi_leg,poly_leg_vwap,kalshi_leg_vwap,max_size_at_cap,combined_vwap_10,combined_vwap_25,combined_vwap_50,combined_vwap_100,combined_vwap_250,combined_vwap_500,combined_vwap_1000,combined_vwap_2500,combined_vwap_5000,combined_vwap_10000,combined_vwap_25000
2026-09-20T12:47:15.432029+00:00,OPEN,ETH,KXETH15M-26SEP200830-30,eth-updown-15m-1789907400,B,0.511,2026-09-20T12:30:18.334806+00:00,,0.0,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-20T12:47:15.731569+00:00,OPEN,SOL,KXSOL15M-26SEP200830-30,sol-updown-15m-1789907400,B,0.541,2026-09-20T12:30:18.334806+00:00,,0.0,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-20T12:47:16.202095+00:00,OPEN,ZEC,KXZEC15M-26SEP200845-45,zec-updown-15m-1789907400,B,0.79,2026-09-20T12:36:18.900245+00:00,,0.0,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-20T12:47:16.516131+00:00,OPEN,ETH,KXETH15M-26SEP200845-45,eth-updown-15m-1789907400,B,0.76,2026-09-20T12:38:16.040341+00:00,,0.0,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-20T12:47:16.813491+00:00,OPEN,SOL,KXSOL15M-26SEP200845-45,sol-updown-15m-1789907400,A,0.72,2026-09-20T12:42:15.939569+00:00,,0.0,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-20T12:47:17.109610+00:00,OPEN,XRP,KXXRP15M-26SEP200845-45,xrp-updown-15m-1789907400,B,0.78,2026-09-20T12:42:15.939569+00:00,,0.0,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-20T12:47:17.441066+00:00,OPEN,HYPE,KXHYPE15M-26SEP200845-45,hype-updown-15m-1789907400,B,0.77,2026-09-20T12:42:15.939569+00:00,,0.0,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-20T12:47:17.759318+00:00,OPEN,ZEC,KXZEC15M-26SEP200900-00,zec-updown-15m-1789908300,B,0.69,2026-09-20T12:46:18.909925+00:00,0.76,0.0,0.9786,0.9786,0.47,40.0,0.9236,0.9239,150.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-20T13:36:46.505533+00:00,OPEN,BTC,KXBTC15M-26SEP200930-30,btc-updown-15m-1789911000,B,0.501,2026-09-20T13:30:18.715580+00:00,0.17,15453.5,0.1891,0.1964,0.84,0.0,0.8549,0.8693,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-20T13:36:46.942103+00:00,OPEN,BNB,KXBNB15M-26SEP200930-30,bnb-updown-15m-1789911000,B,0.451,2026-09-20T13:30:18.715580+00:00,0.35,247.0,0.7021,0.7021,0.67,0.0,0.8916,0.8916,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
